Sno,Date,Deaths,Confirmed
1,02-03-2020,0,1
2,03-03-2020,0,1
3,04-03-2020,0,1
4,05-03-2020,0,2
5,06-03-2020,0,3
6,07-03-2020,0,3
7,08-03-2020,0,3
8,09-03-2020,0,4
9,10-03-2020,0,4
10,11-03-2020,0,5
11,12-03-2020,0,6
12,13-03-2020,0,6
13,14-03-2020,1,7
14,15-03-2020,1,7
15,16-03-2020,1,7
16,17-03-2020,1,8
17,18-03-2020,1,10
18,19-03-2020,1,12
19,20-03-2020,1,17
20,21-03-2020,1,26
21,22-03-2020,1,29
22,23-03-2020,1,29
23,24-03-2020,1,30
24,25-03-2020,1,31
25,26-03-2020,1,36
26,27-03-2020,1,36
27,28-03-2020,1,39
28,29-03-2020,2,49
29,30-03-2020,2,87
30,31-03-2020,2,97
31,01-04-2020,2,152
32,02-04-2020,4,219
33,03-04-2020,4,219
34,04-04-2020,6,445
35,05-04-2020,7,503
36,06-04-2020,7,523
37,07-04-2020,7,576
38,08-04-2020,9,576
39,09-04-2020,9,669
40,10-04-2020,13,898
41,11-04-2020,14,903
42,12-04-2020,19,1069
43,13-04-2020,24,1154
44,14-04-2020,28,1510
45,15-04-2020,30,1561
46,16-04-2020,32,1578
47,17-04-2020,38,1640
48,18-04-2020,42,1707
49,19-04-2020,43,1893
50,20-04-2020,45,2003
51,21-04-2020,47,2081
52,22-04-2020,47,2156
53,23-04-2020,48,2248
54,24-04-2020,50,2376
55,25-04-2020,53,2514
56,26-04-2020,54,2625
57,27-04-2020,54,2918
58,28-04-2020,54,3108
59,29-04-2020,54,3314
60,30-04-2020,56,3439
61,01-05-2020,59,3515
62,02-05-2020,61,3738
63,03-05-2020,64,4122
64,04-05-2020,64,4549
65,05-05-2020,64,4898
66,06-05-2020,64,5104
67,07-05-2020,65,5532
68,08-05-2020,66,5980
69,09-05-2020,68,6318
70,10-05-2020,73,6542
71,11-05-2020,73,6923
72,12-05-2020,73,7233
73,13-05-2020,86,7639
74,14-05-2020,106,7998
75,15-05-2020,115,8470
76,16-05-2020,123,8895
77,17-05-2020,129,9333
78,18-05-2020,160,10054
79,19-05-2020,168,10054
80,20-05-2020,168,10554
81,21-05-2020,176,11088
82,22-05-2020,194,11659
83,23-05-2020,208,12319
84,24-05-2020,231,12910
85,25-05-2020,261,13418
86,26-05-2020,276,14053
87,27-05-2020,288,14465
88,28-05-2020,303,15257
89,29-05-2020,316,16281
90,30-05-2020,398,17386
91,31-05-2020,416,18549
92,01-06-2020,473,19844
93,02-06-2020,523,20834
94,03-06-2020,556,22132
95,04-06-2020,606,23645
96,05-06-2020,650,25004
97,06-06-2020,708,26334
98,07-06-2020,761,27654
99,08-06-2020,761,27654
100,09-06-2020,874,29943
101,10-06-2020,905,31309
102,11-06-2020,984,32810
103,12-06-2020,1085,34687
104,13-06-2020,1214,36824
105,14-06-2020,1271,38958
106,15-06-2020,1327,41182
107,16-06-2020,1400,42829
108,17-06-2020,1837,44688
109,18-06-2020,1904,47102
110,19-06-2020,1969,49979
111,20-06-2020,2035,53116
112,21-06-2020,2112,56746
113,22-06-2020,2175,59746
114,23-06-2020,2233,62655
115,24-06-2020,2301,66602
116,25-06-2020,2365,70390
117,26-06-2020,2429,73780
118,27-06-2020,2492,77240
119,28-06-2020,2558,80188
120,29-06-2020,2623,83077
121,30-06-2020,2680,85161
122,01-07-2020,2742,87360
123,02-07-2020,2803,89802
124,03-07-2020,2864,92175
125,04-07-2020,2923,94695
126,05-07-2020,3004,97200
127,06-07-2020,3067,99444
128,07-07-2020,3115,100823
129,08-07-2020,3165,102831
130,09-07-2020,3213,104864
131,10-07-2020,3258,107051
132,11-07-2020,3300,109140
133,12-07-2020,3334,110921
134,13-07-2020,3371,112494
135,14-07-2020,3411,113740
136,15-07-2020,3446,115346
137,16-07-2020,3487,116993
138,17-07-2020,3545,118645
139,18-07-2020,3571,120107
140,19-07-2020,3597,121582
141,20-07-2020,3628,122793
142,21-07-2020,3663,123747
143,22-07-2020,3690,125096
144,23-07-2020,3719,126323
145,24-07-2020,3745,127364
146,25-07-2020,3777,128389
147,26-07-2020,3806,129531
148,27-07-2020,3827,130606
149,28-07-2020,3853,131219
150,29-07-2020,3881,132275
151,30-07-2020,3907,133310
152,31-07-2020,3936,134403
153,01-08-2020,3963,135598
154,02-08-2020,3989,136716
155,03-08-2020,4004,137677
156,04-08-2020,4021,138482
157,05-08-2020,4033,139156
158,06-08-2020,4044,140232
159,07-08-2020,4059,141531
160,08-08-2020,4082,142723
161,09-08-2020,4098,144127
162,10-08-2020,4111,145427
163,11-08-2020,4131,146134
164,12-08-2020,4139,147391
165,13-08-2020,4153,148504
166,14-08-2020,4167,149460
167,15-08-2020,4178,150652
168,16-08-2020,4188,151928
169,17-08-2020,4196,152580
170,18-08-2020,4214,153367
171,19-08-2020,4226,154741
172,20-08-2020,4235,156139
173,21-08-2020,4257,157354
174,22-08-2020,4270,158604
175,23-08-2020,4284,160016
176,24-08-2020,4300,161466
177,25-08-2020,4313,162527
178,26-08-2020,4330,164071
179,27-08-2020,4347,165764
180,28-08-2020,4369,167604
181,29-08-2020,4389,169412
182,30-08-2020,4404,171366
183,31-08-2020,4426,173390
184,01-09-2020,4444,174748
185,02-09-2020,4462,177060
186,03-09-2020,4481,179569
187,04-09-2020,4500,182306
188,05-09-2020,4513,185220
189,06-09-2020,4538,188193
190,07-09-2020,4567,191449
191,08-09-2020,4599,193526
192,09-09-2020,4618,197135
193,10-09-2020,4638,201174
194,11-09-2020,4666,205482
195,12-09-2020,4687,209748
196,13-09-2020,4715,214069
197,14-09-2020,4744,218304
198,15-09-2020,4770,221533
199,16-09-2020,4806,225796
200,17-09-2020,4839,230269
201,18-09-2020,4877,234701
202,19-09-2020,4907,238828
203,20-09-2020,4945,242899
204,21-09-2020,4982,246711
205,22-09-2020,5014,249259
206,23-09-2020,5051,253075
207,24-09-2020,5087,256789
208,25-09-2020,5123,260623
209,26-09-2020,5147,264450
210,27-09-2020,5193,267822
211,28-09-2020,5235,271114
212,29-09-2020,5272,273098
